# lap_count, lap_success, laptime, completion, delay time, NA, NA, Computation_time
1.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.142760 
2.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.175611 
3.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.219123 
4.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.231935 
5.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.169793 
6.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.141340 
7.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.247541 
8.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.336896 
9.000000  ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.219342 
10.000000 ,1.000000  ,34.240000 ,99.810000 ,0.000000  ,0.000000  ,0.000000  ,24.205607 
11.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,22.032875 
12.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,21.982036 
13.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,21.976942 
14.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,21.937064 
15.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,21.913662 
16.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,21.976637 
17.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,21.920895 
18.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,22.047055 
19.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,22.067871 
20.000000 ,1.000000  ,33.760000 ,99.810000 ,10.000000 ,0.000000  ,0.000000  ,21.966859 
21.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.221521  
22.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.225615  
23.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.207949  
24.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.293700  
25.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.261786  
26.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.221434  
27.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.185712  
28.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.153094  
29.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.233282  
30.000000 ,0.000000  ,10.720000 ,29.900000 ,20.000000 ,0.000000  ,0.000000  ,7.203665  
31.000000 ,0.000000  ,4.880000  ,12.820000 ,30.000000 ,0.000000  ,0.000000  ,3.153403  
32.000000 ,0.000000  ,4.880000  ,12.820000 ,30.000000 ,0.000000  ,0.000000  ,3.126712  
33.000000 ,0.000000  ,4.880000  ,12.820000 ,30.000000 ,0.000000  ,0.000000  ,3.130754  
34.000000 ,0.000000  ,4.880000  ,12.820000 ,30.000000 ,0.000000  ,0.000000  ,3.152573  
