# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), NA, Computation_time
1.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.431368 
2.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.392243 
3.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.449657 
4.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.428573 
5.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.387319 
6.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.398015 
7.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.415044 
8.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.405434 
9.000000  ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,-0.000000 ,0.000000  ,16.428547 
10.000000 ,1.000000  ,25.320000 ,99.760000 ,0.000000  ,0.000000  ,0.000000  ,16.424102 
11.000000 ,1.000000  ,25.320000 ,99.760000 ,0.020000  ,0.000000  ,0.000000  ,16.457384 
12.000000 ,1.000000  ,25.400000 ,99.760000 ,0.020000  ,0.014663  ,0.000000  ,17.288177 
13.000000 ,1.000000  ,25.560000 ,99.760000 ,0.020000  ,0.011478  ,0.000000  ,17.547706 
14.000000 ,1.000000  ,25.480000 ,99.760000 ,0.020000  ,0.011492  ,0.000000  ,17.646428 
15.000000 ,1.000000  ,25.760000 ,100.000000,0.020000  ,0.012956  ,0.000000  ,18.137320 
16.000000 ,1.000000  ,25.320000 ,99.760000 ,0.020000  ,0.010250  ,0.000000  ,16.838226 
17.000000 ,1.000000  ,25.440000 ,99.760000 ,0.020000  ,0.012765  ,0.000000  ,17.110118 
18.000000 ,1.000000  ,25.520000 ,99.760000 ,0.020000  ,0.013159  ,0.000000  ,16.881800 
19.000000 ,1.000000  ,25.800000 ,100.000000,0.020000  ,0.011380  ,0.000000  ,17.577102 
20.000000 ,1.000000  ,25.560000 ,99.760000 ,0.020000  ,0.013457  ,0.000000  ,16.988462 
21.000000 ,1.000000  ,25.480000 ,99.760000 ,0.040000  ,0.012400  ,0.000000  ,16.718130 
22.000000 ,0.000000  ,16.840000 ,65.730000 ,0.040000  ,0.025345  ,0.000000  ,11.064134 
23.000000 ,1.000000  ,25.480000 ,100.000000,0.040000  ,0.023931  ,0.000000  ,16.809602 
24.000000 ,1.000000  ,25.560000 ,99.760000 ,0.040000  ,0.023113  ,0.000000  ,17.169935 
25.000000 ,1.000000  ,25.360000 ,99.760000 ,0.040000  ,0.028596  ,0.000000  ,16.669285 
26.000000 ,1.000000  ,25.360000 ,100.000000,0.040000  ,0.024032  ,0.000000  ,17.369399 
27.000000 ,1.000000  ,25.440000 ,99.760000 ,0.040000  ,0.029822  ,0.000000  ,16.361899 
28.000000 ,1.000000  ,25.920000 ,99.760000 ,0.040000  ,0.022209  ,0.000000  ,17.553211 
29.000000 ,1.000000  ,25.240000 ,100.000000,0.040000  ,0.022801  ,0.000000  ,16.205056 
30.000000 ,1.000000  ,25.720000 ,100.000000,0.040000  ,0.026001  ,0.000000  ,17.180557 
31.000000 ,0.000000  ,16.680000 ,65.730000 ,0.060000  ,0.022608  ,0.000000  ,11.396883 
32.000000 ,1.000000  ,25.560000 ,100.000000,0.060000  ,0.034213  ,0.000000  ,17.319360 
33.000000 ,1.000000  ,25.480000 ,99.760000 ,0.060000  ,0.035123  ,0.000000  ,17.251150 
34.000000 ,1.000000  ,26.200000 ,100.000000,0.060000  ,0.035014  ,0.000000  ,18.402939 
35.000000 ,1.000000  ,25.440000 ,100.000000,0.060000  ,0.036420  ,0.000000  ,17.620027 
36.000000 ,1.000000  ,25.360000 ,100.000000,0.060000  ,0.036552  ,0.000000  ,16.901670 
37.000000 ,0.000000  ,17.320000 ,65.730000 ,0.060000  ,0.034543  ,0.000000  ,12.400673 
38.000000 ,1.000000  ,25.520000 ,99.760000 ,0.060000  ,0.041732  ,0.000000  ,16.867222 
39.000000 ,1.000000  ,25.400000 ,99.760000 ,0.060000  ,0.037714  ,0.000000  ,17.349245 
40.000000 ,1.000000  ,25.480000 ,100.000000,0.060000  ,0.029794  ,0.000000  ,17.082217 
41.000000 ,1.000000  ,25.240000 ,99.760000 ,0.080000  ,0.038912  ,0.000000  ,16.483871 
42.000000 ,1.000000  ,25.440000 ,100.000000,0.080000  ,0.040857  ,0.000000  ,16.672019 
43.000000 ,1.000000  ,25.520000 ,100.000000,0.080000  ,0.046233  ,0.000000  ,16.838823 
44.000000 ,1.000000  ,25.640000 ,99.760000 ,0.080000  ,0.047730  ,0.000000  ,17.469509 
45.000000 ,1.000000  ,25.200000 ,99.760000 ,0.080000  ,0.043359  ,0.000000  ,16.940474 
46.000000 ,1.000000  ,25.760000 ,99.760000 ,0.080000  ,0.051065  ,0.000000  ,17.080998 
47.000000 ,1.000000  ,25.520000 ,100.000000,0.080000  ,0.052831  ,0.000000  ,16.936230 
48.000000 ,1.000000  ,25.480000 ,99.760000 ,0.080000  ,0.041994  ,0.000000  ,16.671997 
49.000000 ,1.000000  ,25.400000 ,99.760000 ,0.080000  ,0.054189  ,0.000000  ,16.993359 
50.000000 ,1.000000  ,25.520000 ,99.760000 ,0.080000  ,0.053423  ,0.000000  ,16.554849 
51.000000 ,1.000000  ,25.520000 ,99.760000 ,0.100000  ,0.044504  ,0.000000  ,17.137210 
52.000000 ,1.000000  ,25.120000 ,100.000000,0.100000  ,0.060786  ,0.000000  ,17.067708 
53.000000 ,1.000000  ,25.480000 ,100.000000,0.100000  ,0.055619  ,0.000000  ,17.556566 
54.000000 ,1.000000  ,26.280000 ,100.000000,0.100000  ,0.068016  ,0.000000  ,18.600244 
55.000000 ,1.000000  ,25.520000 ,99.760000 ,0.100000  ,0.064041  ,0.000000  ,16.987814 
56.000000 ,1.000000  ,25.640000 ,100.000000,0.100000  ,0.049227  ,0.000000  ,17.495037 
57.000000 ,1.000000  ,25.480000 ,100.000000,0.100000  ,0.062112  ,0.000000  ,17.037797 
58.000000 ,1.000000  ,25.680000 ,99.760000 ,0.100000  ,0.059210  ,0.000000  ,17.041144 
59.000000 ,1.000000  ,25.520000 ,100.000000,0.100000  ,0.067843  ,0.000000  ,16.668995 
60.000000 ,1.000000  ,25.440000 ,100.000000,0.100000  ,0.056496  ,0.000000  ,17.007179 
61.000000 ,1.000000  ,25.560000 ,100.000000,0.120000  ,0.053355  ,0.000000  ,17.160378 
62.000000 ,1.000000  ,25.640000 ,99.760000 ,0.120000  ,0.096286  ,0.000000  ,16.797014 
63.000000 ,1.000000  ,25.720000 ,99.760000 ,0.120000  ,0.072681  ,0.000000  ,17.249885 
64.000000 ,1.000000  ,25.720000 ,99.760000 ,0.120000  ,0.075614  ,0.000000  ,17.993205 
65.000000 ,1.000000  ,25.720000 ,100.000000,0.120000  ,0.075747  ,0.000000  ,16.754066 
66.000000 ,1.000000  ,25.400000 ,99.760000 ,0.120000  ,0.103034  ,0.000000  ,17.319963 
67.000000 ,1.000000  ,25.960000 ,100.000000,0.120000  ,0.082921  ,0.000000  ,18.904297 
68.000000 ,1.000000  ,25.760000 ,100.000000,0.120000  ,0.079354  ,0.000000  ,17.960033 
69.000000 ,1.000000  ,25.560000 ,99.760000 ,0.120000  ,0.068283  ,0.000000  ,16.876747 
70.000000 ,1.000000  ,25.960000 ,100.000000,0.120000  ,0.072514  ,0.000000  ,16.891290 
71.000000 ,1.000000  ,25.560000 ,100.000000,0.140000  ,0.084180  ,0.000000  ,17.246428 
72.000000 ,1.000000  ,25.720000 ,100.000000,0.140000  ,0.092840  ,0.000000  ,17.789673 
73.000000 ,1.000000  ,25.920000 ,99.760000 ,0.140000  ,0.083505  ,0.000000  ,18.399346 
74.000000 ,1.000000  ,25.960000 ,99.760000 ,0.140000  ,0.102220  ,0.000000  ,17.433355 
75.000000 ,1.000000  ,25.320000 ,99.760000 ,0.140000  ,0.096783  ,0.000000  ,16.717313 
76.000000 ,1.000000  ,25.240000 ,100.000000,0.140000  ,0.073319  ,0.000000  ,16.630105 
